time	x1	x2	x3	v1	v2	a
91300	0.009881733082071848	-0.0014995370884855657	0.0	1.0069825838347261e-7	6.631224677275096e-7	4.452157071274325e-11
91400	0.009891802907910195	-0.0014332248417128148	0.0	9.624187476615826e-8	6.637681538338745e-7	4.456383617314348e-11
91500	0.00990142709538681	-0.0013668480263294273	0.0	9.178146566953953e-8	6.643838934956022e-7	4.460409096618716e-11
91600	0.009910605241953764	-0.001300409636979867	0.0	8.731723228496485e-8	6.64969663181035e-7	4.4642333845746756e-11
91700	0.00991933696518226	-0.0012339126706617635	0.0	8.284937591934027e-8	6.655254407092702e-7	4.4678563656245864e-11
91800	0.009927621902774193	-0.0011673601265908364	0.0	7.837809798607936e-8	6.660512052503972e-7	4.4712779332609184e-11
91900	0.009935459712572802	-0.0011007550060657967	0.0	7.390359999605852e-8	6.665469373256744e-7	4.474497990020832e-11
92000	0.009942850072572408	-0.0010341003123332292	0.0	6.942608354857815e-8	6.67012618807646e-7	4.477516447480368e-11
92100	0.009949792680927265	-0.0009673990504524646	0.0	6.494575032232989e-8	6.674482329201985e-7	4.480333226248265e-11
92200	0.009956287255959498	-0.0009006542271604447	0.0	6.046280206637055e-8	6.678537642385576e-7	4.4829482559593436e-11
92300	0.009962333536166134	-0.000833868850736589	0.0	5.5977440591103e-8	6.682291986892254e-7	4.48536147526755e-11
92400	0.009967931280225245	-0.0007670459308676664	0.0	5.148986775926442e-8	6.685745235498574e-7	4.487572831838582e-11
92500	0.009973080267001172	-0.0007001884785126807	0.0	4.700028547692227e-8	6.688897274490813e-7	4.489582282342149e-11
92600	0.009977780295548863	-0.0006332995057677725	0.0	4.250889568447844e-8	6.691748003662544e-7	4.491389792443828e-11
92700	0.009982031185117311	-0.0005663820257311471	0.0	3.8015900347681874e-8	6.694297336311644e-7	4.4929953367965685e-11
92800	0.00998583277515208	-0.0004994390523680307	0.0	3.352150144865008e-8	6.69654519923669e-7	4.494398899031793e-11
92900	0.009989184925296945	-0.00043247360037566374	0.0	2.902590097689994e-8	6.698491532732774e-7	4.4956004717501445e-11
93000	0.009992087515394635	-0.000365488685048336	0.0	2.4529300920388095e-8	6.700136290586737e-7	4.496600056511845e-11
93100	0.009994540445486673	-0.00029848732214246863	0.0	2.003190325656141e-8	6.701479440071805e-7	4.497397663826687e-11
93200	0.00999654363581233	-0.00023147252774175056	0.0	1.5533909943417752e-8	6.702520961941653e-7	4.497993313143656e-11
